Date,AES,AEE,AEP,AWK,ATO,CNP,CMS,ED,D,DTE,DUK,EIX,ETR,EVRG,ES,EXC,FE
2017-07-24,10.343957901000977,53.11725616455078,65.04981994628906,78.1073989868164,82.72450256347656,26.3056697845459,43.71818923950195,77.17030334472656,70.99578094482422,98.9301528930664,78.33111572265625,73.03475189208984,70.67869567871094,,57.44660568237305,35.121387481689446,29.025249481201172
2017-07-25,10.270853042602539,53.00326538085938,64.72075653076172,77.9433364868164,83.63887786865234,26.07221603393555,43.50143432617188,76.57843017578125,71.0142822265625,98.86504364013672,77.64554595947266,72.95099639892578,69.85437774658203,,57.20069885253906,34.951446533203125,28.67230224609375
2017-07-26,10.197752952575684,53.516197204589844,65.29425811767578,78.51275634765625,83.51374816894531,26.22162628173828,43.85012435913086,77.1421127319336,71.25472259521484,99.86949920654295,78.23847961425781,73.43492889404297,70.05813598632811,,57.63575744628906,35.57456588745117,28.885929107666016
2017-07-27,10.142927169799805,53.44971084594727,66.44126129150389,77.9819564819336,83.7543716430664,26.2683162689209,44.189395904541016,77.31122589111328,71.3194580078125,99.84160614013672,78.79432678222656,73.72340393066406,70.5304946899414,,57.41822814941406,35.86724090576172,29.025249481201172
2017-07-28,10.03327178955078,53.3452262878418,66.21562194824219,78.22322082519531,83.32125091552734,26.27765464782715,43.63337707519531,77.39578247070312,71.1992416381836,99.25566864013672,78.66464233398438,72.82070922851562,70.62312316894531,,57.24798965454102,36.25433349609375,29.86117935180664
2017-07-31,10.216028213500977,53.28823471069336,66.31904602050781,78.27146911621094,83.50411987304688,26.32434463500977,43.57682800292969,77.84674835205078,71.37494659423828,99.5718765258789,78.85918426513672,73.22087097167969,71.05843353271484,,57.493896484375,36.19768142700195,29.638263702392575
2017-08-01,10.345344543457033,53.696678161621094,66.39426422119139,78.54169464111328,84.1008529663086,26.380374908447266,43.95378875732422,77.7340087890625,71.48593139648438,99.50676727294922,78.90550231933594,73.40699005126953,71.45671081542969,,57.58847045898438,36.39595031738281,29.656837463378906
2017-08-02,10.206791877746582,53.88665771484375,66.68569946289061,79.14007568359375,85.3616943359375,26.3056697845459,44.26939010620117,77.69641876220703,72.00379943847656,100.07411193847656,79.43357849121094,73.27670288085938,70.88246154785156,,57.7492561340332,36.273216247558594,29.916906356811523
2017-08-03,10.271448135375977,54.14312362670898,66.93955230712889,77.83717346191406,84.1297378540039,26.5858154296875,44.63007736206055,78.09101104736328,72.50318908691406,101.25529479980469,80.1469497680664,73.92815399169922,71.18810272216797,,58.52478790283203,36.2921028137207,30.11416244506836
2017-08-04,10.234501838684082,54.61806106567383,66.63870239257811,78.25216674804688,83.9179916381836,26.65118408203125,44.63956832885742,77.7903823852539,72.20726013183594,101.32040405273438,80.1191635131836,73.78855895996094,71.20662689208984,,58.24105834960938,36.03717803955078,30.123550415039066
2017-08-07,10.252976417541504,55.03600692749024,67.11817932128906,78.95548248291016,83.61962127685547,26.837947845458984,44.79143524169922,78.4480209350586,72.05929565429688,101.31109619140624,79.91532897949219,73.92815399169922,70.93803405761719,,58.68557739257813,36.084388732910156,29.86054611206055
